,correct,predicted
0,24990,24424.209658500007
1,31900,30518.42092058123
2,12900,19341.230102523
3,20750,18568.328189751577
4,19999,15146.246609545382
5,4950,3971.371710612763
6,12990,12757.00241439625
7,14998,17019.85882997484
8,3499,5215.3226571973555
9,24990,22226.450756034166
10,8700,11096.612362268783
11,31944,37470.623510101075
12,62888,64255.33058426303
13,3500,6763.606935429395
14,6990,8684.11163339323
15,24685,26074.321407766536
16,32950,54602.289315399175
17,18980,15036.012366256236
18,6900,7178.131684481547
19,28890,29447.66805824804
20,28590,28787.481958060227
21,20999,23281.285052729094
22,10790,11027.170279068327
23,8930,8169.999780127871
24,9750,10871.863641310822
25,9900,8024.227774893558
26,6990,6247.066789101814
27,6998,8578.215765966544
28,7490,7716.866648777216
29,9250,10223.799027169463
30,42999,30547.60771603496
31,38900,29522.077181264587
32,21330,21421.06239121043
33,15890,16578.323690335576
34,7990,8149.24668994877
35,4895,3847.776390995209
36,11000,8767.49412502553
37,16900,22462.003488530434
38,21900,29550.30113715639
39,6972,5938.547623431205
40,13400,11840.206640204146
41,46990,48285.047808399
42,13450,10036.57873240331
43,31999,36297.98405998501
44,38890,44816.408628253695
45,7780,8493.268773825968
46,7300,8185.526623816539
47,5999,7175.385505081301
48,10790,8169.999780127871
49,10800,12376.599552895224
50,7890,6550.822560326347
51,13690,14948.322016669801
52,8590,9650.04059423529
53,8300,11498.94188752058
54,14990,22353.601163779396
55,16570,17243.937988731017
56,4499,4129.145180198992
57,9990,10233.359487445228
58,79980,99113.5346288833
59,23900,26843.82598230573
60,17889,15064.083884883126
61,5390,6829.273428404376
62,19960,19271.25909373631
63,6990,6643.474442268985
64,7870,7926.14668572383
65,35900,42044.564822416694
66,4500,4132.685254038342
67,12490,12485.645111920743
68,5990,4779.31290525714
69,3890,4752.331929095863
70,10450,10474.034364967956
71,7950,7549.211998253843
72,11499,11723.038407369024
73,33980,41544.096910076856
74,13369,14783.046778132539
75,18390,16955.400564269024
76,7999,10912.182344985684
77,8222,5976.6670340943
78,3990,5571.359033870436
79,24490,25536.096479365897
80,98889,97784.49178867388
81,8338,9911.025411244176
82,10286,12126.3031288865
83,8990,7639.80537826258
84,17999,15046.222357505965
85,4900,5071.012901749147
86,6450,7294.883199561462
87,6600,7785.969143986759
88,8400,11063.328576597361
89,12390,12872.723759963787
90,4750,5171.708514112618
91,102900,87763.2554916941
92,4500,5370.729277627347
93,10500,11737.78957399349
94,5399,6554.264245531594
95,11280,10390.16772212608
96,29900,30616.24009320817
97,18990,25140.632288725286
98,7260,9045.440043894276
