,correct,predicted
0,24990,26462.719127205484
1,31900,29534.616352274046
2,12900,18666.584235782528
3,20750,21497.1348714131
4,19999,17746.803128422616
5,4950,-239.22772803574844
6,12990,17877.33132250202
7,14998,19075.037526288324
8,3499,3960.1863938095976
9,24990,26867.922075085982
10,8700,10840.654811016651
11,31944,45335.5794481897
12,62888,59713.03052163865
13,3500,4439.242418009711
14,6990,10014.506831830611
15,24685,24543.18644973047
16,32950,76615.19314900503
17,18980,22624.298186265474
18,6900,7748.342166641158
19,28890,28529.753632236178
20,28590,25517.570096477837
21,20999,22788.48752464315
22,10790,12185.062138436042
23,8930,9150.726046218591
24,9750,9613.870283562545
25,9900,6486.364393392048
26,6990,4441.3694460727675
27,6998,6528.548445542714
28,7490,7368.6584681102195
29,9250,11270.787865312632
30,42999,43914.376463303735
31,38900,38652.907065223
32,21330,24522.86547799219
33,15890,17602.964841525525
34,7990,9397.630486623928
35,4895,-927.3811817390779
36,11000,9735.643977090143
37,16900,20612.71523749007
38,21900,29411.25044588901
39,6972,3454.4597743002014
40,13400,13461.125999680082
41,46990,47365.28238266036
42,13450,12955.79314707188
43,31999,35327.72132974422
44,38890,51328.05918221308
45,7780,8999.745508418542
46,7300,8911.970869498338
47,5999,6674.128688799356
48,10790,9031.328499909832
49,10800,11198.844492388402
50,7890,5199.070283338604
51,13690,12862.276350851458
52,8590,10779.701206496695
53,8300,12273.200072501
54,14990,16088.6923564396
55,16570,19187.688532743236
56,4499,206.48260103069697
57,9990,12335.62043719752
58,79980,73727.87549130473
59,23900,25117.252750478285
60,17889,16739.12550588068
61,5390,4845.636245361657
62,19960,19098.231488216683
63,6990,5905.234008357815
64,7870,8488.319576418773
65,35900,30258.20134881619
66,4500,-1670.0681554323892
67,12490,13215.324744295447
68,5990,976.6479169756185
69,3890,-2435.69260893952
70,10450,12555.996197676548
71,7950,8633.330887811633
72,11499,12167.131332214178
73,33980,36061.74391314108
74,13369,15937.681298344976
75,18390,22916.86366414337
76,7999,9816.33986857178
77,8222,5459.94455224169
78,3990,2965.017014775516
79,24490,23304.7098899063
80,98889,95361.26116956487
81,8338,11126.909447633869
82,10286,11662.799284400751
83,8990,7947.994967791712
84,17999,14565.626350212538
85,4900,795.4778055429342
86,6450,5782.460343791428
87,6600,5625.9016408409225
88,8400,11588.203067853145
89,12390,14381.816058654305
90,4750,2728.549569983865
91,102900,94202.72138985293
92,4500,1679.166780117379
93,10500,12262.783150899035
94,5399,5214.602396781123
95,11280,11061.673309594858
96,29900,28566.74683106279
97,18990,20252.649078361083
98,7260,9589.49956671035
99,16980,20981.63548669289
100,8999,3834.180721591605
101,9980,10415.667206404642
102,7660,7364.5541025333405
103,5790,3369.7020514624637
104,4700,3880.0001646409783
105,6200,4776.210617190887
106,6500,9451.857410100709
107,12800,15492.462638680401
108,6950,7218.298285819052
109,6350,7497.746643970282
110,11990,11969.767794499676
111,17685,19362.055461161533
112,11900,9090.326181823082
113,47900,50953.70817041848
114,7450,3703.251050210645
115,18195,9683.93274530396
116,7100,8529.315643884349
117,6000,4728.408890215116
118,6950,9184.797277510232
119,11900,12057.793015144121
120,10799,9847.762864595978
121,9550,10650.274218594835
122,7970,10703.313121975565
123,14350,20936.10265365957
124,28249,28034.286800660426
125,9299,10518.346904259943
126,136900,112553.47443888796
127,27852,23550.98965218485
128,5000,3927.9107682788544
129,8950,10091.519790179165
130,12990,15818.335682264673
131,2890,-277.114628197407
132,38970,39821.58138436655
133,12999,11365.908282890825
134,5800,5561.120627056205
135,11990,9842.47351346528
136,8234,9910.808957040437
137,5799,5116.910102613567
138,14990,14323.135537469185
139,23800,23422.276314737665
140,26940,24971.798030555532
141,8888,8868.522078099953
142,12650,14121.85249760983
143,17600,18708.522094920354
144,45870,45114.10055717019
145,14250,14469.003790352797
146,3999,2600.7113541461404
147,20900,20909.805112681694
148,37900,43265.48033523845
149,43850,38994.36483279623
150,3999,2944.810955829358
151,11390,11990.064645600756
152,6300,4898.080241347347
153,44975,33998.34754859381
154,25740,25442.102367457708
155,8700,8561.007575095915
156,10990,15958.068684618678
157,57850,57610.4023980262
158,13490,16075.982138499296
159,7140,6201.431536881968
160,5999,5404.8238563119485
161,13000,9828.577506599151
162,13980,15691.583400795222
163,34725,31302.546032197264
164,16480,16679.089155038848
165,27850,51634.77542052045
166,10890,6470.849519044799
167,6950,6319.624948231456
168,6700,4022.557310200469
169,39999,46185.23403833133
170,17700,21223.014358806246
171,21950,27406.320435097892
172,7990,7136.685000717267
173,11200,7800.31495469069
174,11900,12861.405532404675
175,6480,6466.232204122101
176,24500,25722.567162068433
177,35850,38508.32184145204
178,3990,-707.4602826566188
179,6990,7527.124472407995
180,13989,20366.827355512723
181,6300,4402.750127333478
182,36830,33013.05687923145
183,16990,19979.084372773075
184,10290,14429.715059236663
185,13900,16261.681666282202
186,5990,4626.279268436474
187,3400,94.11636015538534
188,21680,20855.65748656257
189,6500,2013.8971168623484
190,67990,68786.88329133982
191,17685,19362.055461161533
192,13500,17453.00085411229
193,11440,11437.830206976862
194,32399,33907.87098791283
195,3490,1853.1694463956119
196,6970,8317.616554707169
197,27880,33755.11821456664
198,23850,24461.739687551002
199,8900,10101.385175977992
200,7950,10681.627147756488
201,22107,21409.24767786465
202,23990,24770.62426347931
203,31894,36656.71842370221
204,9250,10396.042271855182
205,3700,961.893601989319
206,13700,11583.01072202187
207,10999,17586.263369724726
208,4690,1487.0069296526472
209,7999,7318.256851275912
210,9489,10344.038981543847
211,17480,19938.83294051924
212,3333,573.7461379763281
213,6480,8676.813599105039
214,5800,5945.628527327704
215,6666,5751.574995226769
216,24990,21119.24332626716
217,7990,6945.145306642846
218,6290,4903.988401898308
219,15850,20444.611496508125
220,4490,2309.86513295252
221,8980,12606.80060330166
222,7999,9353.904441844825
223,10999,14319.885240224026
224,22899,20600.47621915948
225,4999,2878.5882944595014
226,20951,20548.27724407122
227,18890,23276.5751092025
228,29860,26334.48501727653
229,6870,5197.253445878956
230,9390,12883.126237718896
231,5900,269.5988470538814
232,16780,18739.98399093674
233,10400,12241.56562631416
234,10490,13385.554033134904
235,17990,22408.213237537377
236,10900,12528.611081749694
237,5770,2879.5813715368604
238,10828,12568.60096459163
239,33400,41982.28055470971
240,8199,8279.00466380572
241,29430,25835.8752528337
242,8390,8606.103443116312
243,17500,18572.547287735506
244,9200,10628.999124596834
245,13700,14213.519550292123
246,44900,30572.697586572518
247,16890,16886.207139540835
248,20990,28981.758822518088
249,26990,27514.360138715136
250,12250,13556.587457171157
251,7499,8028.558884550739
252,77770,62488.13038638146
253,7990,5624.082909661516
254,22900,22165.364103227625
255,16450,19341.714198289024
256,12897,13651.333574623468
257,14640,16455.402553693533
258,26396,26188.247149035014
259,6990,7414.562802798255
260,8890,10611.566527505453
261,20680,20597.645607830003
262,34390,32745.94531571513
263,6990,4352.754195514768
264,19990,19703.21827177682
265,10880,10344.781370344292
266,19950,18567.70814437684
267,15790,15686.644151275872
268,11990,11596.935131266331
269,3990,2690.638737446985
270,8290,11490.126408958897
271,6990,5403.442520775156
272,18990,18523.251512560568
273,8550,11946.14986919149
274,7580,6073.592686558328
275,3999,3958.4783177957615
276,6799,6621.064473244338
277,39950,46869.52960433097
278,8990,8757.735412256363
279,54500,41488.70941304848
280,8425,3657.518876323751
281,8800,9390.770472914352
282,45770,41421.00062158823
283,8950,8404.88942191888
284,7900,12697.642126653147
285,7498,3985.899656951402
286,8480,9358.891558166513
287,7950,8835.401880077508
288,34480,39066.840480541665
289,6300,6274.830073053672
290,6799,7164.058906391136
291,11480,14127.969970105914
292,24950,26126.067609760867
293,2900,262.8906430173811
294,5499,2090.9076044594713
295,17700,18850.204946495563
296,6490,7486.644870424518
297,12500,8566.425812158446
298,13950,20187.654394618996
299,10450,10889.97285172751
300,12985,12197.55101565922
301,8499,9663.47995984781
302,13250,11174.638346090733
303,9980,10161.735837659202
304,10490,17429.97948425367
305,26390,24335.923095987975
306,10500,8330.756849658956
307,62904,38229.38836423877
308,14988,18068.81080195847
309,28980,29903.99126729281
310,4950,4409.294473254833
311,9990,8421.152512986419
312,23923,21656.973600895366
313,7500,6832.9819362368125
314,9800,10898.945754220229
315,13795,13942.902117893425
316,5450,3170.6021251685033
317,18921,16071.062971775416
318,7900,9977.445463445498
319,12290,12707.50460575151
320,4490,-535.7663908220384
321,10600,13373.246423142185
322,10890,12072.87976792789
323,2499,-2459.577668813192
324,7390,5731.244407212309
325,24970,26449.491283908206
326,6400,4909.30255879833
327,28499,29230.012070497167
328,11490,10614.955662160792
329,6980,7397.985571469255
330,6299,8794.090479105216
331,7750,8779.508798017097
332,15490,16558.12930537466
333,6500,8919.473847587546
334,5290,4981.497276376531
335,8890,10393.661131920911
336,7000,6038.007779609306
337,18928,19256.37613718179
338,8499,8638.289837939043
339,5300,-482.7822163124911
340,14480,15618.594429792074
341,10588,13370.668956558262
342,27781,32847.34538565929
343,14350,17338.6868027097
344,12190,13602.42223593811
345,8990,6594.364161596299
346,7490,4622.015825616778
347,23679,23585.647166526753
348,12250,14379.478127297245
349,28739,25776.84718107556
350,24950,29018.617689321072
351,22490,19977.7528397478
352,26500,32478.43649775993
353,17850,19798.843753979643
354,11380,11827.148730899826
355,9999,13313.143644039526
356,10000,14796.627691359308
357,13990,11830.6699140696
358,5900,2638.2565419475777
359,14999,10991.031790145898
360,21670,21255.38889251278
