,correct,predicted
78,3990,2614.735865173845
79,24490,23821.80979890117
80,98889,98410.12410919741
81,8338,11440.737682458595
82,10286,11330.967284468727
83,8990,7830.97263178725
84,17999,17575.905175427648
85,4900,1341.6894310854022
86,6450,5337.3987072634645
87,6600,5394.861949690076
88,8400,11093.662878353958
89,12390,14089.94824632897
90,4750,2425.061191301822
91,102900,96356.56296426193
92,4500,1566.742818067405
93,10500,12278.680790801462
94,5399,4970.9588032538595
95,11280,10958.872217205917
96,29900,27692.759828022754
97,18990,19606.282532388872
98,7260,8475.696860031987
99,16980,22089.73756400272
100,8999,4666.602480496103
101,9980,10171.688599902154
102,7660,7952.559486644401
103,5790,3354.5974124330387
104,4700,3359.7023801109026
105,6200,4858.047308178442
106,6500,8661.875148254876
107,12800,15580.638000762692
108,6950,7756.683648616703
109,6350,6570.784993517469
110,11990,11794.121456948065
111,17685,19460.846109621536
112,11900,9730.837854122892
113,47900,50829.034334522876
114,7450,4205.642397621079
115,18195,10103.049054241961
116,7100,8344.3648901204
117,6000,5396.529485909783
118,6950,8346.781098132526
119,11900,11903.810503558578
120,10799,9527.066211554
121,9550,10462.972731629938
122,7970,10793.853744348276
123,14350,20531.02455359252
124,28249,28644.723207397252
125,9299,10296.488342787881
126,136900,114271.42874444659
127,27852,23199.394661256738
128,5000,3818.685212038603
129,8950,9981.95444126696
130,12990,15439.404602675148
131,2890,-520.9128353901724
132,38970,37370.00111387798
133,12999,12011.489927956665
134,5800,5163.632609896238
135,11990,9909.200431194777
136,8234,9800.614943446548
137,5799,5336.5980947376265
138,14990,14068.37099604909
139,23800,23429.889258175186
140,26940,25599.0098675997
141,8888,9096.991709259142
142,12650,13796.812218782892
143,17600,19206.321017922983
144,45870,43105.73416535066
145,14250,15017.442278287917
146,3999,4089.218724817749
147,20900,20682.815559844872
148,37900,43576.99227060283
149,43850,39134.98268640481
150,3999,4178.002823455057
151,11390,12003.630389727994
152,6300,4383.289594455437
153,44975,34312.49068769451
154,25740,25389.896053046214
155,8700,8468.485687093867
156,10990,15647.42673929531
157,57850,57309.394114431045
158,13490,16037.708990134077
159,7140,5883.881962475947
160,5999,4983.216116952573
161,13000,9724.335272616041
162,13980,15654.341131425334
163,34725,31173.675787074262
164,16480,15943.673382736803
165,27850,53521.99691887174
166,10890,7392.887059434548
167,6950,6500.238743266895
168,6700,4758.430060543451
169,39999,47185.92133167833
170,17700,20624.236628513943
171,21950,27149.60681939897
172,7990,7064.955008371937
173,11200,8529.12094777351
174,11900,12732.786805965046
175,6480,6063.5279014511
176,24500,25071.480203114676
177,35850,39521.3959581039
178,3990,-672.1923247664054
179,6990,5522.194826010709
180,13989,20261.38059518856
181,6300,3552.8133819546947
182,36830,33310.078454133574
183,16990,19608.53857336859
184,10290,14070.625567939545
185,13900,16274.736594534335
186,5990,4864.43068619965
187,3400,67.61647159836866
188,21680,20507.249670510664
189,6500,1998.2580815147867
190,67990,67232.60580524425
191,17685,19460.846109621536
192,13500,17388.752614760768
193,11440,11352.337742357573
194,32399,36454.43382036896
195,3490,1616.7821638075839
196,6970,7782.5533325270135
197,27880,35386.0829674039
198,23850,24957.58492245187
199,8900,9751.978472084684
200,7950,9522.888628804114
201,22107,20765.648972866515
202,23990,24799.77548546522
203,31894,38097.369765507465
204,9250,10933.011577020567
205,3700,1216.7531099078587
206,13700,11813.649572316099
207,10999,16173.261842973063
208,4690,1478.1517383998362
209,7999,7561.1121477449105
210,9489,9979.549130536243
211,17480,19756.336520531564
212,3333,859.400833448819
213,6480,8926.209770409956
214,5800,6036.637265365358
215,6666,5404.871613761643
216,24990,22608.133448518332
217,7990,6756.1066828789135
218,6290,4475.662210552593
219,15850,20022.746800212582
220,4490,2318.504848174134
221,8980,12129.500460200521
222,7999,8896.787204226915
223,10999,15161.062323628748
224,22899,21331.210357821274
225,4999,3302.6231877501305
226,20951,21295.124192570718
227,18890,23340.99155216308
228,29860,26142.773169289343
229,6870,5184.2369405107565
230,9390,13319.345512559577
231,5900,120.76445991050969
232,16780,19446.82068298937
233,10400,12204.695558802643
234,10490,12891.493159481137
235,17990,21410.706139121336
236,10900,11738.983007710514
237,5770,2487.6226074056776
238,10828,12092.569156721976
239,33400,42798.885286518096
240,8199,8626.989653606313
241,29430,26470.011621216378
242,8390,8751.396011711699
243,17500,18213.792173274316
244,9200,10600.349992214507
245,13700,14155.46239978482
246,44900,31466.853564065394
247,16890,16577.526240971885
248,20990,29956.111649195343
249,26990,28487.21644551491
250,12250,13112.95669750925
251,7499,7932.629309490467
252,77770,62610.68091594804
253,7990,5855.779017640092
254,22900,21073.143267154966
255,16450,18270.9836568613
256,12897,13966.139181805647
257,14640,15872.20570683163
258,26396,26723.43432391462
259,6990,7217.427993120873
260,8890,10505.776373670447
261,20680,20328.685312580623
262,34390,34116.12698699061
263,6990,4181.125196171002
264,19990,19289.66124911549
265,10880,10498.312290043032
266,19950,18267.013632740043
267,15790,15910.312966084715
268,11990,11912.226888278714
269,3990,2565.1912105670963
270,8290,12281.180793461503
271,6990,5530.8579364884645
272,18990,17533.759550189854
273,8550,12014.156965152972
274,7580,5698.516253189011
275,3999,5453.1323575078895
276,6799,6545.282051239743
277,39950,47685.1429816141
278,8990,8575.595266536822
279,54500,40524.61487791143
280,8425,3861.743576490677
281,8800,9187.583385543483
282,45770,41426.41455399904
283,8950,8432.628533061425
284,7900,12124.106264280874
285,7498,4220.208755710148
286,8480,8466.480736488567
287,7950,8721.466693716176
288,34480,39974.94949223328
289,6300,6178.562179394514
290,6799,6901.421429710892
291,11480,14998.322491004203
292,24950,25369.07368939639
293,2900,-140.05580130768794
294,5499,2439.438804039628
295,17700,19125.851150918686
296,6490,7368.01756969786
297,12500,8739.86570381538
298,13950,20994.74052144988
299,10450,11304.619454721429
300,12985,11461.45790394176
301,8499,9215.163753145212
302,13250,11547.654369749554
303,9980,10071.804040618323
304,10490,17365.65115716251
305,26390,24083.431765126836
306,10500,9673.349063689207
307,62904,37989.385512087836
308,14988,17397.341343798726
309,28980,29604.277596190994
310,4950,5188.06905597458
311,9990,8838.722228213011
312,23923,22691.116551557367
313,7500,6758.840323093211
314,9800,10971.424206194297
315,13795,13830.912922911955
316,5450,2725.751616229407
317,18921,17630.366270859893
318,7900,10282.316610285137
319,12290,13258.089090537816
320,4490,-685.9793070178675
321,10600,13041.262569281687
322,10890,12685.058882586014
323,2499,-2655.353425647605
324,7390,5725.691019884131
325,24970,25576.31316025377
326,6400,5128.268316797392
327,28499,28684.005595275376
328,11490,10988.87105834484
329,6980,7299.862330626687
330,6299,8436.420281303843
331,7750,8525.093477273087
332,15490,16889.628563478956
333,6500,8061.151111263367
334,5290,5053.480662905338
335,8890,9769.277660374224
336,7000,5473.7089784461
337,18928,19025.142966758547
338,8499,8221.67679504502
339,5300,-610.0691715196917
340,14480,15451.659971991514
341,10588,13409.990395028712
342,27781,34840.335467815035
343,14350,16466.473448883702
344,12190,13790.800965307668
345,8990,6839.7129622252905
346,7490,4383.5516130139495
347,23679,23652.56203321783
348,12250,13217.1546535827
349,28739,26540.135151436632
350,24950,30035.051913635765
351,22490,19623.432214741606
352,26500,33347.25220064868
353,17850,19525.48346105659
354,11380,11197.8344090776
355,9999,12760.031167809066
356,10000,13935.208289376318
357,13990,11989.635823173387
358,5900,2392.891141535776
359,14999,11484.044780557897
360,21670,21673.572429761047
361,6490,2727.8947989257013
362,22600,21039.791560180005
363,21474,25285.901887409877
364,28440,27802.523803098164
365,35980,31888.32285203018
366,21750,26942.38825858329
367,45450,41488.27612870696
368,17195,21345.814178962177
369,8900,6943.518102417274
370,18990,19289.961714346027
371,11990,12388.711271220804
372,4900,3957.751978543898
373,4990,5865.383642387535
374,5800,3778.441666088307
375,7500,8663.18728323246
376,10680,13502.36281153179
377,4200,5188.546642038833
378,4499,1091.9867928536241
379,10980,12146.364335025499
380,27990,27595.804674551193
381,12860,17743.89531390888
382,16450,19096.612735665258
383,18490,22178.784114097984
384,15200,21565.835409390897
385,6990,8947.600931965262
386,5498,5292.622105107181
387,13850,18165.283623129922
